"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1905388652852904355","Thu Mar 27 22:37:09 +0000 2025","0","Hadehh lu ngapain sih @drRichardLee1? Satu2nya cara rehabilitasi nama Palembang adalah dgn membongkar skenario settingan Willie salim kumpulkan keterangan saksi sebanyak mungkin kumpulkan rekaman footage dari saksi di TKP saat kejadian lalu buat WS mengaku bukan gini ‍️","1905388652852904355","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/blonggigante/status/1905388652852904355","1878839386231721984","blonggigante"
"1905266089438720000","Thu Mar 27 22:26:38 +0000 2025","0","@convomf Willie salim kata gue stop bikin konten begini deh bikin pusing anjir","1905386003256541550","","convomf","in","DKI Jakarta, Indonesia 📌","0","0","0","https://x.com/sipecandusenja/status/1905386003256541550","1275671863","sipecandusenja"
"1905373785232212302","Thu Mar 27 21:38:05 +0000 2025","0","Kalo menurut gw nih isu Ridwan Kamil atau berita Willie Salim tuh mencoba mengaburkan informasi tentang mengkritisi pemerintahan. Udah IHSG turun dolar terus tinggi banyak PHK. Stay safe semua kebenaran pasti menemukan jalannya #TolakRUUTNI #TolakUUPolri #TolakDwifungsiABRI","1905373785232212302","","","in","","0","0","0","https://x.com/ruh18man/status/1905373785232212302","1334494754512359424","ruh18man"
"1905356603697889394","Thu Mar 27 20:31:33 +0000 2025","1","@M_MikaelaJKT48 rendang willie salim","1905357041188876441","","M_MikaelaJKT48","en","","0","0","0","https://x.com/akunfanboii/status/1905357041188876441","1347130728199254019","akunfanboii"
"1905343363291001089","Thu Mar 27 19:37:12 +0000 2025","0","eh keinget barista kisman yang mirip willie salim","1905343363291001089","","","in","","0","0","0","https://x.com/ketoprakrahas1a/status/1905343363291001089","1467107598591688708","ketoprakrahas1a"
"1905232578791256568","Thu Mar 27 18:41:54 +0000 2025","0","@irodoreru Flawed Democracy Country kenapa bisa Flawed? Ya gampang masyarakatnya juga emang gampang di alurin baik secara langsung atau lewat sosmed Mau bukti? Mau itu yang demo m4ti ratusan atau ribuan tetep aja berita nya kalah sama Ani Ani RK atau Rendang Willie Salim.","1905329449677324426","","irodoreru","in","","0","1","0","https://x.com/fadelfikri241/status/1905329449677324426","1824476423702319104","fadelfikri241"
"1905324247859560890","Thu Mar 27 18:21:14 +0000 2025","1","Gara2 WILLIE SALIM....jadi LATAH! https://t.co/IZudJr0kgO","1905324247859560890","https://pbs.twimg.com/ext_tw_video_thumb/1905324150157443072/pu/img/u2y2aZiMVyu3fNPf.jpg","","in","","0","0","0","https://x.com/EkoArdiyan55716/status/1905324247859560890","1893243064640249858","EkoArdiyan55716"
"1904357441653084593","Thu Mar 27 16:48:28 +0000 2025","0","@DaytonaSSD @kegblgnunfaedh Kronologi kasus Willie Salim: 18 Maret 2025 masak 200 kg rendang di Palembang hilang saat ditinggal. 18-22 Maret video viral tuduh settingan. 22-23 Maret lapor polisi Salim minta maaf. 24 Maret Sultan Palembang keluar dekrit minta maaf adat atau dilarang seumur hidup. 27 https://t.co/XqVVkdQqAL","1905300903139115064","https://pbs.twimg.com/media/Gmq5_TyagAAeXrQ.jpg","DaytonaSSD","in","wherever you are","0","0","0","https://x.com/grok/status/1905300903139115064","1720665183188922368","grok"
"1905064114973733328","Thu Mar 27 16:22:53 +0000 2025","0","@toplezstarsss @BudiBukanIntel Ketika garuda biru muncul ditimpa berita sound horeg &amp; pesilat langsung lenyap di sosmed hujat jawa jawa jawa jawa . Pas demo ruu tni muncul willie salim rendang dicuri sosmed terpecah lagi pada hujat palembang mental maling blabla ","1905294463397933165","","toplezstarsss","in","","0","0","0","https://x.com/riyandaputra_/status/1905294463397933165","1675095867697807360","riyandaputra_"
"1905290450841550993","Thu Mar 27 16:06:56 +0000 2025","0","Menurut aq kasus rendang2 Willie Salim itu juga dijadikan #pengalihanisu karena di up nya ga wajar. Terlalu alay...banyak mulut ngomong sana sini","1905290450841550993","","","in","","0","0","0","https://x.com/AlvitaWij/status/1905290450841550993","1550758397607157761","AlvitaWij"
